model,kind,macro_F1,ROC_AUC,acc,TPR@FPR<=1%
clf_logreg,classical,0.9979 +/- 0.0025,1.0000 +/- 0.0000,0.9988 +/- 0.0014,0.9992 +/- 0.0019
clf_hist_gbm,classical,0.9937 +/- 0.0033,0.9998 +/- 0.0002,0.9964 +/- 0.0019,0.9886 +/- 0.0124
fusion_concat,neural,0.9934 +/- 0.0063,0.9999 +/- 0.0002,0.9962 +/- 0.0037,0.9953 +/- 0.0030
fusion_mlp,neural,0.9934 +/- 0.0063,0.9999 +/- 0.0002,0.9962 +/- 0.0037,0.9953 +/- 0.0030
fusion_gating,neural,0.9934 +/- 0.0061,0.9999 +/- 0.0002,0.9962 +/- 0.0035,0.9986 +/- 0.0020
clf_svm,classical,0.9933 +/- 0.0026,0.9999 +/- 0.0001,0.9962 +/- 0.0015,0.9962 +/- 0.0026
clf_mlp,classical,0.9917 +/- 0.0037,0.9999 +/- 0.0000,0.9952 +/- 0.0021,0.9936 +/- 0.0026
clf_xgboost,classical,0.9913 +/- 0.0027,0.9997 +/- 0.0004,0.9950 +/- 0.0016,0.9862 +/- 0.0129
rf_nela,single_modality,0.9908 +/- 0.0025,0.9998 +/- 0.0003,0.9947 +/- 0.0014,0.9789 +/- 0.0181
clf_gradient_boosting,classical,0.9904 +/- 0.0038,0.9997 +/- 0.0003,0.9945 +/- 0.0022,0.9781 +/- 0.0195
clf_random_forest,classical,0.9903 +/- 0.0025,0.9998 +/- 0.0002,0.9945 +/- 0.0014,0.9845 +/- 0.0177
fusion_attention,neural,0.9853 +/- 0.0130,0.9997 +/- 0.0004,0.9913 +/- 0.0078,0.9930 +/- 0.0097
rf_style,single_modality,0.7914 +/- 0.0236,0.9374 +/- 0.0098,0.8949 +/- 0.0101,0.5326 +/- 0.0810
rf_trace,single_modality,0.6230 +/- 0.0509,0.8778 +/- 0.0433,0.8561 +/- 0.0121,0.4208 +/- 0.0371
